question,answer_llm,answer_orig,document
Can I still join the course if I found it late?,"Yes, you can still join the course if you found it late. If you want to receive a certificate, make sure you submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Is it okay to start the course after it has already begun?,"Yes. You can start the course whenever you want, even after it has already begun. The videos and GitHub materials are available, and you can follow the weekly workflow at your own pace.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join now, will I still be able to get a certificate?","Yes, but only if you join while the course is still live and submit your capstone project and required peer reviews before submissions close. Homework is not required, but you must finish the capstone and peer review process to get the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I need to submit my project before submissions close to get the certificate?,"Yes. To get the certificate, you need to submit your project while submissions are still open for the live cohort. You can prepare it in self-paced mode, but the actual project submission and peer review must happen before submissions close.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
What happens if I join the course after project submissions are no longer open?,"If you join after project submissions are no longer open, you can still take the course, but you won’t be able to submit the capstone project for a certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I signed up for LLM Zoomcamp but haven't gotten any confirmation email yet — is that normal?,"Yes — that’s normal. You don’t need a confirmation email to be accepted. Registration is just to gauge interest, and you can already start learning and submitting homework while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need an acceptance or confirmation message before I can start the course and do homework?,"No—you don’t need an acceptance or confirmation message. You’re already accepted, and you can start learning and submitting homework as long as the submission form is open. Registration is just to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I never registered for the LLM Zoomcamp, can I still begin the lessons and submit assignments?","Yes. You can start the lessons and submit homework even if you never registered. Registration is not required, and submissions are not checked against a registered list, as long as the homework form is still open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is the course checking homework against a list of registered students, or can anyone submit while the form is open?","No — it is **not** checked against a registered-students list. Anyone can start learning and submit homework **while the form is open**, even without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What was the point of the registration form if it's not required to join the course?,"The point of the registration form was just to gauge interest before the start date. It’s not required to join the course, and it isn’t checked against any registered list.

You can just start learning and submit homework as long as the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do I join the office hours or live workshop if the Zoom link isn’t shared with students?,"You don’t join via the Zoom link as a student — the Zoom link is only shared with instructors/presenters/TAs.

For students, the session is available through:
- **YouTube Live** on the **DataTalksClub YouTube channel**
- The **video URL** posted in the **announcements channel on Telegram and Slack** before it starts
- **Slido** for questions, with the link pinned in the live chat

If you’re stuck, you can also ask in **Slack** and follow the course’s question-asking guidelines.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where can I find the live stream link for office hours or workshop sessions before they start?,"Before the session starts, the live video URL should be posted in the **announcements channel on Telegram and Slack**. You can also watch live on the **DataTalksClub YouTube channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
